,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
50,2016-02-20,-0.2,2.5,-2.0,5.0,4.7,59.0,8.0,2.0
51,2016-02-21,-2.2,0.4,-4.0,9.5,1.2,70.0,14.0,2.3
52,2016-02-22,-5.4,-3.2,-12.4,1.0,0.5,69.0,4.0,1.6
53,2016-02-23,-5.2,-0.1,-13.9,2.0,2.4,71.0,8.0,1.2
54,2016-02-24,-11.3,-7.0,-17.3,0.0,5.1,66.0,0.0,1.4
55,2016-02-25,-10.7,-5.9,-16.8,1.5,1.6,68.0,6.0,1.1
56,2016-02-26,-8.8,-4.5,-15.1,0.0,0.3,69.0,4.0,0.9
57,2016-02-27,-10.6,-3.8,-18.8,0.5,1.7,68.0,2.0,1.0
58,2016-02-28,-10.0,-2.8,-18.0,0.0,7.7,67.0,2.0,0.8
59,2016-02-29,-4.3,-1.1,-11.4,9.0,0.0,73.0,9.0,4.4
60,2016-03-01,-4.2,-0.8,-7.5,0.5,1.5,74.0,8.0,4.1
61,2016-03-02,-7.2,-2.9,-11.2,0.0,3.1,73.0,1.0,1.1
62,2016-03-03,-10.1,-5.3,-18.3,3.5,0.6,75.0,10.0,0.7
63,2016-03-04,-13.2,-2.8,-25.7,0.5,6.5,77.0,4.0,0.6
64,2016-03-05,-9.9,0.3,-21.4,0.0,9.4,76.0,1.0,1.1
65,2016-03-06,-0.3,3.2,-4.4,11.5,0.0,71.0,0.0,4.5
66,2016-03-07,3.4,6.9,-2.7,3.0,4.2,68.0,0.0,1.9
67,2016-03-08,1.5,6.3,-4.7,2.5,3.3,62.0,3.0,3.2
68,2016-03-09,-2.3,0.0,-7.0,0.0,5.2,59.0,1.0,3.3
69,2016-03-10,-5.2,0.0,-9.4,0.0,8.9,57.0,0.0,0.9
70,2016-03-11,-5.9,-1.3,-13.1,0.5,4.6,60.0,5.0,1.3
71,2016-03-12,-6.4,-1.6,-12.3,1.5,3.1,63.0,3.0,
72,2016-03-13,-6.4,3.6,-19.0,0.5,7.8,59.0,4.0,1.5
73,2016-03-14,-0.7,6.9,-7.7,0.5,7.1,59.0,2.0,1.0
74,2016-03-15,-1.9,1.5,-7.6,0.0,6.7,57.0,4.0,2.5
75,2016-03-16,0.2,8.8,-11.2,0.0,8.9,55.0,0.0,2.4
76,2016-03-17,4.6,11.0,-2.0,0.0,9.7,49.0,0.0,1.9
77,2016-03-18,6.9,13.4,-3.1,0.0,3.3,43.0,0.0,2.2
78,2016-03-19,4.1,8.7,1.9,3.5,0.0,37.0,0.0,1.4
79,2016-03-20,-1.1,1.9,-6.9,0.0,3.3,36.0,1.0,3.9
80,2016-03-21,-3.7,1.0,-9.3,0.0,2.9,34.0,1.0,1.3
81,2016-03-22,-2.1,3.7,-9.6,0.0,2.8,33.0,2.0,1.4
82,2016-03-23,-1.4,3.2,-5.1,0.0,4.5,32.0,3.0,1.3
83,2016-03-24,-2.8,3.1,-9.3,0.0,7.7,29.0,0.0,1.0
84,2016-03-25,-2.6,2.1,-7.5,0.5,3.1,28.0,4.0,0.9
85,2016-03-26,0.5,4.9,-3.3,0.0,5.2,27.0,2.0,1.2
86,2016-03-27,2.8,9.3,-5.4,0.0,9.8,23.0,2.0,1.9
87,2016-03-28,4.3,8.9,-2.5,0.0,8.2,18.0,1.0,2.2
88,2016-03-29,3.2,12.0,-5.2,0.0,10.9,13.0,0.0,1.4
89,2016-03-30,3.7,7.4,0.4,5.0,4.8,9.0,1.0,3.6
90,2016-03-31,3.1,8.4,-1.3,0.0,4.5,4.0,0.0,1.8
91,2016-04-01,4.9,11.0,-0.4,0.0,11.1,0.0,0.0,2.5
92,2016-04-02,2.6,6.5,0.7,0.0,5.9,0.0,0.0,5.9
93,2016-04-03,3.8,8.2,0.9,3.0,0.0,0.0,0.0,3.1
94,2016-04-04,4.9,10.5,-0.5,0.0,6.4,0.0,0.0,1.6
95,2016-04-05,5.7,13.8,-2.3,1.5,9.7,0.0,0.0,2.8
96,2016-04-06,5.8,10.4,0.6,0.0,8.4,0.0,0.0,2.6
97,2016-04-07,5.9,12.9,-2.3,3.0,5.6,0.0,0.0,2.7
98,2016-04-08,6.4,12.5,0.7,5.5,2.4,0.0,0.0,2.0
99,2016-04-09,3.9,11.0,-0.9,0.0,3.2,0.0,0.0,3.3
100,2016-04-10,2.6,6.0,-2.3,0.0,6.0,0.0,0.0,2.4
101,2016-04-11,0.1,4.9,-3.5,0.0,3.9,0.0,0.0,2.6
102,2016-04-12,3.6,9.0,-2.1,0.0,8.3,0.0,0.0,2.1
103,2016-04-13,6.6,11.5,1.4,2.5,0.0,0.0,0.0,2.8
104,2016-04-14,9.8,16.4,5.1,9.0,2.2,0.0,0.0,1.7
105,2016-04-15,3.3,7.3,1.0,1.0,0.8,0.0,0.0,5.4
106,2016-04-16,5.7,11.2,0.2,0.0,7.4,0.0,0.0,2.0
107,2016-04-17,5.6,8.8,4.6,12.5,0.0,0.0,0.0,4.1
108,2016-04-18,4.9,8.1,1.1,5.5,0.3,0.0,0.0,2.3
109,2016-04-19,2.9,6.5,0.3,0.0,0.0,0.0,0.0,1.1
110,2016-04-20,7.4,14.6,1.3,0.5,9.1,0.0,0.0,2.8
111,2016-04-21,12.7,19.5,6.0,0.0,10.2,0.0,0.0,2.4
112,2016-04-22,11.5,19.1,4.5,0.0,9.4,0.0,0.0,3.4
113,2016-04-23,6.2,10.7,2.0,6.0,3.1,0.0,0.0,3.3
114,2016-04-24,6.9,13.9,1.1,0.0,7.7,0.0,0.0,2.0
115,2016-04-25,8.5,15.4,0.5,0.0,8.9,0.0,0.0,1.6
116,2016-04-26,7.3,12.2,3.5,0.0,1.8,0.0,0.0,2.0
117,2016-04-27,6.4,12.4,-0.3,0.0,9.9,0.0,0.0,1.7
118,2016-04-28,5.6,10.5,0.7,1.0,7.2,0.0,0.0,4.9
119,2016-04-29,2.1,3.5,0.8,5.0,0.0,0.0,0.0,4.0
120,2016-04-30,2.2,5.7,-0.2,0.5,2.6,0.0,0.0,4.9
121,2016-05-01,5.0,9.6,0.0,0.0,5.2,0.0,0.0,1.8
122,2016-05-02,8.6,17.5,-2.4,0.0,10.7,0.0,0.0,1.7
123,2016-05-03,18.9,27.0,8.2,0.0,10.3,0.0,0.0,2.9
124,2016-05-04,13.6,15.5,11.8,5.5,0.1,0.0,0.0,4.0
125,2016-05-05,11.1,14.3,8.9,3.5,1.4,0.0,0.0,3.3
126,2016-05-06,10.7,15.2,5.9,1.5,1.6,0.0,0.0,1.7
127,2016-05-07,10.8,18.3,7.0,6.0,4.0,0.0,0.0,4.5
128,2016-05-08,11.2,16.2,3.9,1.0,8.6,0.0,0.0,3.6
129,2016-05-09,12.1,20.4,0.9,0.0,11.8,0.0,0.0,1.6
130,2016-05-10,12.6,16.1,8.0,0.0,1.4,0.0,0.0,4.3
131,2016-05-11,8.7,10.6,6.8,4.5,0.0,0.0,0.0,5.3
132,2016-05-12,8.7,12.8,5.3,1.0,0.5,0.0,0.0,2.2
133,2016-05-13,14.9,25.5,3.4,0.0,12.4,0.0,0.0,3.1
134,2016-05-14,14.9,22.9,6.7,0.0,12.2,0.0,0.0,1.9
135,2016-05-15,13.7,20.0,6.4,0.0,8.1,0.0,0.0,5.0
136,2016-05-16,10.3,13.9,7.4,0.0,3.3,0.0,0.0,6.8
137,2016-05-17,14.4,20.4,9.9,9.0,7.0,0.0,0.0,2.4
138,2016-05-18,14.7,21.3,7.5,0.0,11.5,0.0,0.0,1.3
139,2016-05-19,16.7,27.4,6.7,0.0,12.3,0.0,0.0,1.1
140,2016-05-20,18.2,28.9,8.3,0.0,10.8,0.0,0.0,1.5
141,2016-05-21,19.5,31.5,7.9,0.0,12.9,0.0,0.0,1.3
142,2016-05-22,20.7,30.4,10.0,0.0,13.2,0.0,0.0,1.6
143,2016-05-23,18.2,27.9,10.2,0.0,10.9,0.0,0.0,1.6
144,2016-05-24,15.7,23.2,9.1,0.0,5.7,0.0,0.0,4.1
145,2016-05-25,14.7,19.4,9.6,4.5,1.6,0.0,0.0,4.1
146,2016-05-26,19.2,24.0,15.8,0.0,3.4,0.0,0.0,3.2
147,2016-05-27,16.0,20.9,8.1,0.5,8.5,0.0,0.0,1.8
148,2016-05-28,14.2,24.6,5.3,3.5,10.5,0.0,0.0,2.0
149,2016-05-29,13.3,21.2,6.0,0.0,11.2,0.0,0.0,2.0
150,2016-05-30,15.3,23.9,9.6,0.0,8.6,0.0,0.0,3.1
151,2016-05-31,13.7,22.0,10.3,15.5,2.2,0.0,0.0,2.3
152,2016-06-01,9.6,14.5,6.6,5.0,0.3,0.0,0.0,2.1
153,2016-06-02,7.7,9.8,5.6,1.5,0.0,0.0,0.0,2.6
154,2016-06-03,9.1,13.0,4.9,2.0,0.2,0.0,0.0,0.9
155,2016-06-04,10.0,11.5,7.4,12.0,0.0,0.0,0.0,1.4
156,2016-06-05,11.6,18.0,6.2,1.5,8.5,0.0,0.0,1.4
157,2016-06-06,15.2,22.0,7.2,0.0,10.4,0.0,0.0,1.4
158,2016-06-07,17.5,25.1,9.9,0.0,9.7,0.0,0.0,1.4
159,2016-06-08,16.1,22.3,10.4,3.0,1.4,0.0,0.0,0.9
160,2016-06-09,16.2,20.8,13.3,21.0,2.9,0.0,0.0,0.6
161,2016-06-10,15.6,18.9,12.6,0.0,3.0,0.0,0.0,2.3
162,2016-06-11,16.4,22.6,11.7,0.0,9.7,0.0,0.0,1.3
163,2016-06-12,16.2,22.7,11.7,0.0,10.5,0.0,0.0,3.2
164,2016-06-13,13.0,15.4,11.1,0.5,0.0,0.0,0.0,4.0
165,2016-06-14,14.3,17.5,13.1,7.0,0.0,0.0,0.0,3.2
166,2016-06-15,16.0,21.3,12.8,0.0,4.3,0.0,0.0,2.9
167,2016-06-16,13.7,16.9,12.1,14.0,2.1,0.0,0.0,4.1
168,2016-06-17,13.4,14.5,11.8,40.0,0.0,0.0,0.0,3.9
169,2016-06-18,15.8,20.5,12.7,0.0,4.7,0.0,0.0,2.1
170,2016-06-19,17.4,24.9,11.4,0.0,5.7,0.0,0.0,2.7
171,2016-06-20,16.7,19.7,14.2,4.5,0.0,0.0,0.0,3.3
172,2016-06-21,18.4,21.8,15.3,1.0,4.9,0.0,0.0,3.3
173,2016-06-22,18.7,24.5,13.5,0.0,7.3,0.0,0.0,3.0
174,2016-06-23,16.1,20.0,13.2,0.0,6.6,0.0,0.0,4.6
175,2016-06-24,16.8,22.8,12.4,0.0,3.9,0.0,0.0,2.3
176,2016-06-25,13.4,15.4,11.4,9.0,0.0,0.0,0.0,4.2
177,2016-06-26,13.1,16.8,10.9,11.0,0.1,0.0,0.0,1.7
178,2016-06-27,15.9,21.7,9.7,1.5,9.0,0.0,0.0,1.4
179,2016-06-28,18.7,26.6,12.5,0.0,10.2,0.0,0.0,1.2
180,2016-06-29,20.7,29.2,12.0,0.0,14.5,0.0,0.0,1.4
181,2016-06-30,21.7,30.5,12.9,0.0,14.2,0.0,0.0,1.5
182,2016-07-01,21.7,29.4,13.3,0.0,12.4,0.0,0.0,1.3
183,2016-07-02,19.9,25.5,15.9,35.0,1.8,0.0,0.0,2.8
184,2016-07-03,19.2,22.7,16.1,0.0,1.1,0.0,0.0,2.3
185,2016-07-04,14.6,17.7,10.1,0.0,1.2,0.0,0.0,1.3
186,2016-07-05,15.8,24.9,8.6,0.0,7.3,0.0,0.0,1.7
187,2016-07-06,16.5,22.6,12.3,0.0,6.2,0.0,0.0,3.3
188,2016-07-07,18.0,28.7,9.2,0.0,14.3,0.0,0.0,1.9
189,2016-07-08,19.8,28.9,10.8,0.0,13.4,0.0,0.0,1.5
190,2016-07-09,20.6,27.6,13.2,0.0,9.3,0.0,0.0,1.2
191,2016-07-10,19.2,23.1,16.2,6.5,0.8,0.0,0.0,1.0
192,2016-07-11,18.3,22.8,15.1,0.0,2.4,0.0,0.0,2.8
193,2016-07-12,20.8,27.5,14.9,0.0,11.2,0.0,0.0,1.9
194,2016-07-13,21.2,29.0,15.4,0.0,8.1,0.0,0.0,1.8
195,2016-07-14,19.5,24.0,16.4,0.0,13.8,0.0,0.0,3.8
196,2016-07-15,20.8,25.8,15.9,0.0,9.4,0.0,0.0,3.1
197,2016-07-16,21.7,26.8,16.6,0.0,4.6,0.0,0.0,1.0
198,2016-07-17,20.3,25.8,16.5,0.0,1.8,0.0,0.0,2.3
199,2016-07-18,20.2,24.5,17.7,0.0,0.3,0.0,0.0,2.8
200,2016-07-19,18.8,22.6,16.6,12.5,0.3,0.0,0.0,1.4
201,2016-07-20,19.5,25.0,15.2,0.0,4.8,0.0,0.0,1.3
202,2016-07-21,20.7,28.1,15.8,0.0,9.1,0.0,0.0,1.3
203,2016-07-22,20.6,26.9,16.9,0.0,7.8,0.0,0.0,1.8
204,2016-07-23,20.9,29.0,14.1,0.0,12.0,0.0,0.0,1.9
205,2016-07-24,21.7,29.7,16.4,0.0,11.5,0.0,0.0,1.9
206,2016-07-25,21.9,30.5,14.8,0.0,12.6,0.0,0.0,1.5
207,2016-07-26,21.7,30.5,14.9,0.0,12.5,0.0,0.0,2.1
208,2016-07-27,19.5,22.7,17.8,6.5,0.0,0.0,0.0,4.2
209,2016-07-28,21.3,24.6,17.8,36.0,0.0,0.0,0.0,2.2
210,2016-07-29,23.7,27.5,21.3,30.0,0.0,0.0,0.0,0.8
211,2016-07-30,25.7,29.5,22.8,0.0,1.0,0.0,0.0,1.9
212,2016-07-31,25.2,32.2,20.4,0.0,7.8,0.0,0.0,1.4
213,2016-08-01,23.2,29.2,20.5,27.0,1.3,0.0,0.0,1.8
214,2016-08-02,24.5,30.7,19.8,0.0,7.0,0.0,0.0,1.2
215,2016-08-03,25.1,31.5,20.2,0.0,9.2,0.0,0.0,1.2
216,2016-08-04,23.8,29.2,19.2,0.0,8.8,0.0,0.0,1.6
217,2016-08-05,21.9,28.3,15.3,0.5,5.6,0.0,0.0,1.6
218,2016-08-06,20.7,28.5,13.2,0.0,12.2,0.0,0.0,1.5
219,2016-08-07,24.1,33.3,14.1,0.0,12.2,0.0,0.0,2.2
220,2016-08-08,26.9,32.6,20.2,0.0,11.5,0.0,0.0,2.5
221,2016-08-09,21.2,25.0,15.1,17.5,2.2,0.0,0.0,1.4
222,2016-08-10,20.2,26.6,14.4,0.0,10.5,0.0,0.0,1.8
223,2016-08-11,21.3,29.1,13.8,0.0,10.2,0.0,0.0,1.2
224,2016-08-12,22.7,30.6,16.3,0.0,11.3,0.0,0.0,1.5
225,2016-08-13,23.0,31.0,16.0,0.0,12.7,0.0,0.0,2.4
226,2016-08-14,22.9,27.9,18.8,0.0,8.3,0.0,0.0,3.5
227,2016-08-15,23.7,29.1,19.7,0.0,1.5,0.0,0.0,1.2
228,2016-08-16,22.2,26.0,19.3,3.5,3.6,0.0,0.0,2.5
229,2016-08-17,20.8,22.1,19.9,145.0,0.0,0.0,0.0,1.9
230,2016-08-18,23.5,30.5,17.6,1.0,8.5,0.0,0.0,1.3
231,2016-08-19,23.0,27.2,19.6,3.0,0.0,0.0,0.0,1.2
232,2016-08-20,21.9,25.5,20.3,74.5,0.0,0.0,0.0,0.9
233,2016-08-21,21.9,24.2,20.2,21.0,0.3,0.0,0.0,2.7
234,2016-08-22,22.0,26.9,19.5,16.0,0.8,0.0,0.0,1.1
235,2016-08-23,21.6,27.7,18.1,93.5,5.6,0.0,0.0,1.7
236,2016-08-24,21.3,27.7,16.7,0.0,7.8,0.0,0.0,1.2
237,2016-08-25,23.9,30.4,17.1,0.0,10.7,0.0,0.0,2.9
238,2016-08-26,19.6,25.6,13.6,5.5,0.1,0.0,0.0,1.6
239,2016-08-27,16.8,23.2,12.5,0.0,5.8,0.0,0.0,0.9
240,2016-08-28,18.0,24.3,10.0,0.0,5.6,0.0,0.0,2.0
241,2016-08-29,23.2,27.6,16.5,0.0,4.3,0.0,0.0,3.9
242,2016-08-30,24.2,27.5,22.1,11.5,4.8,0.0,0.0,4.2
243,2016-08-31,23.9,27.2,20.9,1.5,2.4,0.0,0.0,4.1
244,2016-09-01,23.9,29.5,19.2,0.0,6.8,0.0,0.0,2.5
245,2016-09-02,24.1,30.1,19.4,0.0,7.8,0.0,0.0,2.0
246,2016-09-03,22.7,27.7,19.0,0.0,6.9,0.0,0.0,1.9
247,2016-09-04,21.9,25.8,19.3,0.0,3.8,0.0,0.0,2.1
248,2016-09-05,22.2,26.2,19.6,0.0,3.7,0.0,0.0,3.1
249,2016-09-06,21.0,22.4,19.5,52.5,0.0,0.0,0.0,2.2
250,2016-09-07,19.9,25.5,15.7,0.0,2.5,0.0,0.0,1.3
251,2016-09-08,15.9,19.1,13.4,7.0,0.1,0.0,0.0,2.6
252,2016-09-09,16.6,21.2,12.8,32.5,0.0,0.0,0.0,2.9
253,2016-09-10,17.2,22.6,15.0,0.0,1.9,0.0,0.0,1.3
254,2016-09-11,16.1,20.7,11.8,0.5,2.9,0.0,0.0,1.4
255,2016-09-12,15.5,21.4,9.8,0.0,6.7,0.0,0.0,1.1
256,2016-09-13,16.7,19.9,14.1,0.0,2.6,0.0,0.0,2.3
257,2016-09-14,17.3,22.1,14.1,0.0,1.8,0.0,0.0,2.0
258,2016-09-15,17.4,24.3,13.4,1.5,3.1,0.0,0.0,0.9
259,2016-09-16,19.2,25.6,12.3,0.0,10.1,0.0,0.0,2.2
260,2016-09-17,15.5,20.2,12.0,21.0,2.5,0.0,0.0,1.0
261,2016-09-18,12.7,15.3,10.5,0.5,0.5,0.0,0.0,2.3
262,2016-09-19,12.2,18.6,7.0,0.0,4.1,0.0,0.0,1.2
263,2016-09-20,11.7,20.0,4.6,0.0,7.5,0.0,0.0,1.0
264,2016-09-21,12.3,19.6,8.0,0.0,6.7,0.0,0.0,1.0
265,2016-09-22,14.7,21.4,6.4,0.0,7.7,0.0,0.0,2.2
266,2016-09-23,14.5,16.2,13.2,10.0,0.0,0.0,0.0,1.8
267,2016-09-24,17.5,23.8,14.1,0.5,6.9,0.0,0.0,1.0
268,2016-09-25,18.3,25.8,12.9,0.0,10.1,0.0,0.0,2.1
269,2016-09-26,17.0,24.5,10.3,0.0,9.9,0.0,0.0,1.5
270,2016-09-27,15.5,25.4,8.1,0.0,5.6,0.0,0.0,0.8
271,2016-09-28,16.8,21.8,12.8,16.0,0.7,0.0,0.0,1.3
272,2016-09-29,13.2,17.6,10.4,2.0,1.2,0.0,0.0,1.5
273,2016-09-30,12.6,20.0,6.6,0.0,7.7,0.0,0.0,0.8
274,2016-10-01,13.8,22.1,7.9,0.0,10.2,0.0,0.0,1.1
275,2016-10-02,14.3,23.2,5.9,0.0,9.3,0.0,0.0,1.0
276,2016-10-03,14.1,19.3,9.4,8.0,0.0,0.0,0.0,1.6
277,2016-10-04,13.2,19.8,7.7,8.0,1.9,0.0,0.0,3.4
278,2016-10-05,9.5,14.9,3.3,2.5,7.5,0.0,0.0,1.5
279,2016-10-06,9.6,14.3,5.9,13.5,2.7,0.0,0.0,2.7
280,2016-10-07,7.3,11.2,3.4,2.0,3.2,0.0,0.0,1.9
281,2016-10-08,10.2,16.1,4.6,1.0,0.6,0.0,0.0,1.9
282,2016-10-09,10.6,16.4,6.1,6.5,2.7,0.0,0.0,2.9
283,2016-10-10,6.2,8.8,3.3,4.5,2.3,0.0,0.0,1.5
284,2016-10-11,7.5,13.0,2.1,4.0,2.2,0.0,0.0,1.2
285,2016-10-12,6.6,10.1,4.4,1.5,1.5,0.0,0.0,1.2
286,2016-10-13,6.8,12.2,2.8,0.0,3.5,0.0,0.0,1.1
287,2016-10-14,5.7,12.0,0.4,1.5,5.8,0.0,0.0,1.3
288,2016-10-15,6.2,16.1,-1.7,0.0,9.6,0.0,0.0,0.9
289,2016-10-16,12.0,19.8,5.1,0.0,3.4,0.0,0.0,1.2
290,2016-10-17,13.2,17.1,8.6,3.5,0.0,0.0,0.0,1.3
291,2016-10-18,11.7,16.1,3.7,0.0,8.6,0.0,0.0,2.3
292,2016-10-19,8.1,17.5,1.7,0.0,9.5,,,0.9
293,2016-10-20,6.1,13.0,1.3,15.5,1.1,,,3.2
294,2016-10-21,2.5,5.0,0.4,0.0,0.1,0.0,0.0,1.6
295,2016-10-22,4.2,7.4,1.0,0.0,0.4,0.0,0.0,0.9
296,2016-10-23,3.8,7.4,0.9,2.0,1.4,0.0,0.0,1.8
297,2016-10-24,2.1,5.0,-0.8,1.0,0.9,0.0,0.0,2.3
298,2016-10-25,5.6,11.4,-0.3,0.0,5.9,0.0,0.0,1.5
299,2016-10-26,7.2,15.1,3.1,16.5,2.5,0.0,2.0,2.4
300,2016-10-27,4.0,6.3,1.2,0.5,2.1,0.0,0.0,2.4
301,2016-10-28,5.8,8.9,3.3,0.0,3.2,0.0,0.0,2.0
302,2016-10-29,1.7,4.8,-1.1,2.0,2.9,0.0,0.0,2.5
303,2016-10-30,0.6,2.5,-1.2,1.0,1.4,4.0,5.0,1.7
304,2016-10-31,2.2,6.1,-1.2,8.5,0.0,0.0,0.0,2.0
305,2016-11-01,0.5,1.8,-0.8,0.0,0.0,0.0,0.0,0.8
306,2016-11-02,-0.2,2.8,-1.8,0.0,0.5,0.0,0.0,0.7
307,2016-11-03,0.0,1.4,-1.6,10.0,0.0,7.0,8.0,1.3
308,2016-11-04,0.1,1.7,-2.0,0.5,0.6,7.0,6.0,2.1
309,2016-11-05,-0.1,1.9,-2.6,33.5,0.0,12.0,11.0,0.9
310,2016-11-06,-1.4,0.6,-3.5,4.5,3.5,18.0,14.0,
311,2016-11-07,-1.8,0.8,-4.0,0.0,7.3,15.0,3.0,1.3
312,2016-11-08,2.2,6.0,-0.7,8.0,0.0,16.0,6.0,3.3
313,2016-11-09,-1.3,3.3,-4.0,2.5,0.7,12.0,6.0,1.8
314,2016-11-10,-2.4,0.6,-7.3,0.0,0.4,12.0,4.0,1.9
315,2016-11-11,-2.6,2.9,-11.1,0.5,7.9,11.0,3.0,2.4
316,2016-11-12,1.1,7.2,-3.3,5.5,0.9,15.0,5.0,2.4
317,2016-11-13,3.2,9.2,-2.9,4.5,1.0,9.0,0.0,1.4
318,2016-11-14,3.2,8.7,-2.7,0.0,7.3,5.0,0.0,2.1
319,2016-11-15,5.2,12.0,0.2,6.0,0.6,2.0,0.0,2.6
320,2016-11-16,-0.6,1.2,-2.4,0.0,3.3,0.0,0.0,3.2
321,2016-11-17,-2.2,-0.7,-3.2,0.5,0.0,1.0,1.0,1.3
322,2016-11-18,1.4,5.6,-5.6,8.5,0.9,0.0,0.0,1.4
323,2016-11-19,5.1,9.6,1.9,0.5,2.0,0.0,0.0,1.1
324,2016-11-20,4.7,9.2,-1.2,2.0,2.0,2.0,2.0,2.2
325,2016-11-21,-2.0,-0.1,-4.2,1.0,0.0,4.0,5.0,2.3
326,2016-11-22,-2.0,0.6,-4.9,1.5,0.3,5.0,3.0,
327,2016-11-23,-7.3,-2.8,-12.2,0.0,0.0,5.0,4.0,2.6
328,2016-11-24,-10.0,-3.9,-14.3,0.0,2.0,5.0,2.0,0.7
329,2016-11-25,-6.6,-2.6,-11.4,1.0,1.9,12.0,8.0,0.9
330,2016-11-26,-4.3,-1.5,-7.1,0.0,1.2,12.0,2.0,1.0
331,2016-11-27,0.2,3.9,-4.6,0.5,0.9,8.0,2.0,2.2
