Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
74,2016-03-15,3.6,6.7,1.5,0.0
75,2016-03-16,5.3,12.1,-2.9,0.0
76,2016-03-17,9.1,16.6,2.5,0.0
77,2016-03-18,10.9,18.5,0.1,0.0
78,2016-03-19,12.4,16.3,9.1,3.5
79,2016-03-20,7.0,10.1,4.2,0.0
80,2016-03-21,4.7,8.8,1.4,0.0
81,2016-03-22,7.1,14.1,2.0,0.0
82,2016-03-23,6.4,9.4,3.6,0.5
83,2016-03-24,4.0,8.7,0.1,0.0
84,2016-03-25,2.7,7.7,-0.6,0.0
85,2016-03-26,4.8,10.0,-1.0,0.0
86,2016-03-27,5.6,13.5,-3.7,0.0
87,2016-03-28,9.3,16.9,2.1,0.0
88,2016-03-29,8.9,17.4,-0.6,0.0
89,2016-03-30,11.2,20.0,2.2,0.0
90,2016-03-31,9.6,16.2,2.1,0.0
91,2016-04-01,7.5,16.7,-0.7,0.0
92,2016-04-02,7.6,11.4,0.4,0.5
93,2016-04-03,13.9,19.1,8.5,0.0
94,2016-04-04,10.9,14.8,7.6,14.0
95,2016-04-05,9.0,14.4,4.7,0.0
96,2016-04-06,10.8,16.0,4.6,0.0
97,2016-04-07,9.6,15.7,4.8,30.0
98,2016-04-08,11.2,14.3,4.8,0.0
99,2016-04-09,12.2,21.3,1.7,0.0
100,2016-04-10,11.7,19.8,3.9,0.0
101,2016-04-11,4.7,8.1,0.8,0.0
102,2016-04-12,7.3,15.3,-0.6,0.0
103,2016-04-13,10.9,14.3,5.7,3.5
104,2016-04-14,14.1,18.6,10.8,20.0
105,2016-04-15,9.0,13.9,6.2,0.5
106,2016-04-16,11.4,17.8,3.5,0.0
107,2016-04-17,15.2,19.0,11.0,0.0
108,2016-04-18,13.8,18.6,10.2,0.0
109,2016-04-19,11.9,17.2,8.4,0.0
110,2016-04-20,11.6,19.5,4.6,0.0
111,2016-04-21,12.2,17.8,4.3,10.0
112,2016-04-22,14.2,19.6,10.3,0.5
113,2016-04-23,16.1,22.1,11.7,0.0
114,2016-04-24,14.4,20.4,7.4,0.0
115,2016-04-25,14.7,22.2,7.1,0.0
116,2016-04-26,16.8,25.0,7.4,0.0
117,2016-04-27,13.8,22.1,8.5,0.0
118,2016-04-28,9.9,13.7,8.2,21.5
119,2016-04-29,10.2,12.9,6.0,2.0
120,2016-04-30,10.2,14.9,6.2,0.5
121,2016-05-01,13.4,19.1,9.2,0.5
122,2016-05-02,13.4,17.6,9.3,0.0
123,2016-05-03,18.4,24.3,13.3,0.0
124,2016-05-04,16.6,19.6,12.2,19.0
125,2016-05-05,15.7,19.7,11.0,0.0
126,2016-05-06,15.6,21.5,8.2,0.0
127,2016-05-07,17.0,22.7,13.5,0.0
128,2016-05-08,15.7,20.3,10.5,0.0
129,2016-05-09,16.0,22.3,8.6,0.0
130,2016-05-10,14.9,17.0,12.8,10.0
131,2016-05-11,14.5,18.5,12.6,6.0
132,2016-05-12,15.7,19.8,12.1,0.0
133,2016-05-13,19.7,26.9,11.8,0.0
134,2016-05-14,18.0,23.8,11.0,0.0
135,2016-05-15,15.4,24.1,8.4,0.0
136,2016-05-16,16.6,20.3,12.2,0.0
137,2016-05-17,14.3,17.8,12.7,24.5
138,2016-05-18,18.3,25.5,10.0,0.0
139,2016-05-19,17.0,23.2,10.3,0.0
140,2016-05-20,15.0,19.8,9.8,0.0
141,2016-05-21,15.0,19.9,9.4,1.0
142,2016-05-22,20.1,27.0,13.5,0.0
143,2016-05-23,21.3,29.3,12.9,0.0
144,2016-05-24,21.7,28.9,13.2,0.0
145,2016-05-25,20.4,23.3,18.1,0.0
146,2016-05-26,22.8,28.8,18.3,0.0
147,2016-05-27,18.8,22.1,15.4,4.0
148,2016-05-28,18.9,24.6,14.1,0.0
149,2016-05-29,21.4,28.4,14.1,0.0
150,2016-05-30,18.1,21.1,16.0,0.0
151,2016-05-31,20.0,26.1,13.7,0.0
152,2016-06-01,15.8,19.8,13.6,0.0
153,2016-06-02,14.1,17.5,11.1,0.0
154,2016-06-03,16.8,23.8,9.8,0.0
155,2016-06-04,20.3,27.7,10.9,0.0
156,2016-06-05,21.2,26.2,16.0,0.0
157,2016-06-06,18.3,24.0,14.8,0.0
158,2016-06-07,17.8,21.2,15.3,0.0
159,2016-06-08,21.5,27.1,17.3,0.0
160,2016-06-09,21.0,23.0,19.4,4.0
161,2016-06-10,23.0,27.8,19.0,0.0
162,2016-06-11,23.3,30.6,16.0,0.0
163,2016-06-12,22.9,28.6,18.7,0.0
164,2016-06-13,17.7,21.2,15.7,28.0
165,2016-06-14,18.6,20.6,16.7,0.0
166,2016-06-15,17.4,20.5,15.0,0.0
167,2016-06-16,19.1,21.5,16.9,2.0
168,2016-06-17,21.6,25.5,18.3,0.5
169,2016-06-18,22.9,27.5,18.5,0.0
170,2016-06-19,22.0,28.3,16.3,0.0
171,2016-06-20,22.4,27.4,17.4,7.5
172,2016-06-21,22.0,27.6,18.1,2.0
173,2016-06-22,22.0,27.8,18.5,0.0
174,2016-06-23,18.6,21.1,17.8,15.5
175,2016-06-24,19.9,22.9,16.7,9.0
176,2016-06-25,21.0,22.9,18.9,14.5
177,2016-06-26,20.1,23.0,17.7,0.0
178,2016-06-27,22.0,27.6,16.5,0.0
179,2016-06-28,17.8,20.1,16.6,16.5
180,2016-06-29,20.8,25.1,16.9,0.0
181,2016-06-30,21.7,25.8,18.9,2.0
182,2016-07-01,24.4,29.5,18.9,0.0
183,2016-07-02,23.8,27.1,20.8,1.5
184,2016-07-03,24.5,27.9,22.2,0.5
185,2016-07-04,22.9,25.3,20.1,1.5
186,2016-07-05,17.1,20.1,15.8,22.0
187,2016-07-06,19.5,22.7,16.5,4.5
188,2016-07-07,22.2,25.2,19.8,0.0
189,2016-07-08,23.4,28.5,19.1,0.0
190,2016-07-09,21.2,23.1,18.4,5.0
191,2016-07-10,24.6,28.9,18.7,0.0
192,2016-07-11,24.2,28.8,20.5,0.0
193,2016-07-12,23.6,29.6,17.4,0.0
194,2016-07-13,22.7,25.5,20.3,4.0
195,2016-07-14,23.7,27.3,20.8,1.0
196,2016-07-15,21.6,23.9,19.3,0.0
197,2016-07-16,22.3,27.0,18.4,0.0
198,2016-07-17,24.1,27.7,20.6,0.0
199,2016-07-18,25.2,28.9,22.3,0.0
200,2016-07-19,24.8,29.4,20.8,0.0
201,2016-07-20,23.8,29.1,20.3,0.0
202,2016-07-21,19.8,21.1,18.4,3.0
203,2016-07-22,19.3,22.3,17.2,2.0
204,2016-07-23,19.0,21.9,16.9,0.0
205,2016-07-24,21.2,26.1,16.7,0.0
206,2016-07-25,22.5,28.7,17.6,0.0
207,2016-07-26,21.8,24.5,20.1,1.0
208,2016-07-27,23.3,27.3,20.5,0.5
209,2016-07-28,24.8,28.5,22.1,0.0
210,2016-07-29,26.5,31.6,23.0,0.0
211,2016-07-30,26.3,33.7,19.8,0.0
212,2016-07-31,25.7,30.1,21.9,0.0
213,2016-08-01,25.7,29.9,22.7,0.0
214,2016-08-02,24.1,30.5,21.4,52.5
215,2016-08-03,25.0,29.9,21.6,0.5
216,2016-08-04,26.5,32.0,20.9,0.0
217,2016-08-05,27.2,32.2,21.4,0.0
218,2016-08-06,27.7,33.6,21.0,0.0
219,2016-08-07,26.8,32.9,21.4,0.0
220,2016-08-08,24.4,27.2,20.9,3.0
221,2016-08-09,26.3,29.4,22.8,0.0
222,2016-08-10,24.7,28.9,22.1,0.0
223,2016-08-11,24.6,29.3,20.1,0.0
224,2016-08-12,23.7,30.6,17.0,0.0
225,2016-08-13,23.4,30.2,18.0,0.0
226,2016-08-14,23.1,28.1,18.1,0.0
227,2016-08-15,23.1,26.8,19.9,0.0
228,2016-08-16,26.2,32.1,21.8,3.5
229,2016-08-17,25.8,32.0,22.8,114.5
230,2016-08-18,24.1,26.8,22.3,1.5
231,2016-08-19,26.0,30.9,23.4,0.5
232,2016-08-20,25.5,30.0,22.9,10.5
233,2016-08-21,27.2,33.3,22.1,0.0
234,2016-08-22,24.6,28.0,22.3,33.0
235,2016-08-23,24.3,29.2,21.3,1.0
236,2016-08-24,24.3,29.1,21.0,0.0
237,2016-08-25,26.4,32.0,22.3,0.0
238,2016-08-26,26.2,32.4,22.8,2.5
239,2016-08-27,20.8,23.1,18.7,8.0
240,2016-08-28,20.2,22.0,18.4,0.0
241,2016-08-29,23.4,27.5,19.9,2.5
242,2016-08-30,22.9,25.1,20.1,29.0
243,2016-08-31,23.2,29.5,18.0,0.0
244,2016-09-01,23.5,30.8,16.8,0.0
245,2016-09-02,23.7,29.2,19.4,0.0
246,2016-09-03,24.2,30.4,20.6,0.0
247,2016-09-04,24.6,30.5,21.0,1.5
248,2016-09-05,26.6,31.7,23.3,0.0
249,2016-09-06,26.2,32.4,22.4,0.0
250,2016-09-07,24.0,29.0,21.4,41.0
251,2016-09-08,22.5,24.7,20.9,39.5
252,2016-09-09,22.8,26.5,20.1,0.5
253,2016-09-10,23.0,27.3,19.7,0.0
254,2016-09-11,21.5,25.4,18.9,0.0
255,2016-09-12,20.2,22.4,18.5,0.0
256,2016-09-13,19.0,20.6,18.2,26.0
257,2016-09-14,21.5,26.2,17.9,0.0
258,2016-09-15,22.3,26.4,18.8,0.0
259,2016-09-16,21.6,25.2,18.9,0.0
260,2016-09-17,21.4,26.0,18.3,9.5
261,2016-09-18,19.0,20.5,18.1,23.5
262,2016-09-19,19.1,21.2,17.9,19.5
263,2016-09-20,16.4,18.1,15.2,41.5
264,2016-09-21,16.9,20.5,14.1,0.0
265,2016-09-22,16.8,18.2,15.6,23.0
266,2016-09-23,19.3,22.1,16.9,2.5
267,2016-09-24,18.9,22.4,15.5,11.5
268,2016-09-25,21.6,28.1,18.1,0.0
269,2016-09-26,20.9,24.1,19.1,3.0
270,2016-09-27,22.5,28.2,19.1,0.5
271,2016-09-28,21.9,24.9,18.5,3.0
272,2016-09-29,19.0,21.6,13.9,8.5
273,2016-09-30,16.9,23.6,9.8,0.0
274,2016-10-01,18.7,23.7,15.3,0.5
275,2016-10-02,21.1,28.2,15.6,0.0
276,2016-10-03,21.0,23.1,18.1,0.0
277,2016-10-04,21.5,24.5,15.9,0.0
278,2016-10-05,17.9,23.5,12.7,1.0
279,2016-10-06,20.1,23.1,16.4,2.0
280,2016-10-07,16.2,20.3,12.6,0.0
281,2016-10-08,17.5,19.6,14.4,3.5
282,2016-10-09,16.7,19.1,12.2,2.0
283,2016-10-10,14.6,18.4,11.9,0.0
284,2016-10-11,12.8,17.1,8.6,0.0
285,2016-10-12,13.0,19.5,6.3,0.0
286,2016-10-13,11.9,16.9,6.8,0.0
287,2016-10-14,11.1,19.5,3.9,0.0
288,2016-10-15,11.5,21.9,3.8,0.0
289,2016-10-16,13.8,23.7,4.0,0.0
290,2016-10-17,16.6,19.9,12.6,7.0
291,2016-10-18,18.0,24.9,11.4,0.0
292,2016-10-19,17.6,23.7,10.3,0.0
293,2016-10-20,17.1,22.4,12.1,0.0
294,2016-10-21,12.3,17.1,6.2,0.0
295,2016-10-22,11.6,18.6,3.4,0.0
296,2016-10-23,12.7,17.5,7.9,0.0
297,2016-10-24,10.6,15.0,6.0,0.0
298,2016-10-25,10.6,17.0,1.0,1.0
299,2016-10-26,18.1,23.1,13.3,0.0
300,2016-10-27,13.3,17.4,9.4,0.0
301,2016-10-28,9.0,10.7,6.6,20.5
302,2016-10-29,10.6,14.9,6.8,0.5
303,2016-10-30,8.8,14.2,3.4,0.0
304,2016-10-31,8.7,16.3,0.9,0.0
305,2016-11-01,9.3,14.7,5.5,0.0
306,2016-11-02,7.6,12.7,3.1,0.0
307,2016-11-03,8.1,14.0,3.8,0.0
308,2016-11-04,7.7,11.9,1.7,0.5
309,2016-11-05,9.6,18.4,-0.3,0.0
310,2016-11-06,10.0,15.0,4.1,0.0
311,2016-11-07,5.1,11.3,0.0,0.0
312,2016-11-08,6.9,12.1,-0.4,0.0
313,2016-11-09,5.1,8.3,3.2,0.0
314,2016-11-10,4.8,8.6,-0.1,0.0
315,2016-11-11,5.5,8.8,2.6,27.0
316,2016-11-12,9.4,14.6,3.3,0.5
317,2016-11-13,9.1,18.1,0.7,0.0
318,2016-11-14,9.8,14.1,2.6,0.0
319,2016-11-15,12.9,18.6,7.8,0.0
320,2016-11-16,6.8,9.7,0.8,0.0
321,2016-11-17,5.7,10.5,0.5,0.0
322,2016-11-18,6.3,13.0,-0.8,0.0
323,2016-11-19,6.9,12.7,3.0,8.5
324,2016-11-20,14.1,17.7,10.8,0.0
325,2016-11-21,9.6,13.3,6.2,0.0
326,2016-11-22,10.9,15.5,6.2,0.0
327,2016-11-23,4.7,9.6,2.1,0.0
328,2016-11-24,0.9,2.7,-1.9,1.5
329,2016-11-25,1.7,6.7,-3.4,0.0
330,2016-11-26,5.3,10.8,-1.8,0.0
331,2016-11-27,7.7,12.1,4.7,4.0
332,2016-11-28,6.9,8.9,5.4,1.5
333,2016-11-29,5.2,7.5,3.5,0.0
334,2016-11-30,5.5,8.5,2.3,0.0
335,2016-12-01,8.1,12.9,4.9,5.0
336,2016-12-02,6.5,8.5,4.0,1.0
337,2016-12-03,7.9,12.8,0.8,0.0
338,2016-12-04,6.4,14.9,-0.6,0.0
339,2016-12-05,9.1,14.7,3.9,1.0
340,2016-12-06,4.4,9.3,2.1,0.0
341,2016-12-07,3.1,7.0,0.6,0.0
342,2016-12-08,2.7,6.5,-1.4,0.0
343,2016-12-09,5.2,12.0,-0.3,0.0
344,2016-12-10,2.9,5.5,0.8,0.0
345,2016-12-11,1.9,4.6,0.7,0.0
346,2016-12-12,2.1,6.4,-2.7,0.0
347,2016-12-13,4.9,12.4,-2.9,5.0
348,2016-12-14,2.7,6.4,0.4,26.5
349,2016-12-15,1.0,3.2,-2.0,1.0
350,2016-12-16,0.0,3.3,-3.4,0.0
351,2016-12-17,2.0,4.8,-1.7,0.5
352,2016-12-18,7.3,11.4,2.0,0.0
353,2016-12-19,7.4,12.4,0.2,0.0
354,2016-12-20,6.3,13.8,0.1,0.0
355,2016-12-21,7.3,14.7,0.9,0.0
356,2016-12-22,9.6,14.6,0.3,1.0
357,2016-12-23,8.9,14.3,3.9,5.0
358,2016-12-24,3.0,5.3,-0.4,0.0
359,2016-12-25,2.9,7.4,-1.7,0.0
360,2016-12-26,3.4,9.8,-2.8,0.0
361,2016-12-27,5.0,8.6,2.4,0.0
362,2016-12-28,0.8,3.1,-3.1,0.5
363,2016-12-29,1.1,7.8,-4.0,0.0
364,2016-12-30,1.2,2.9,-0.3,0.0
365,2016-12-31,3.5,6.5,-1.5,0.0
366,2017-01-01,5.2,7.0,2.3,0.0
367,2017-01-02,6.7,11.6,3.1,0.0
368,2017-01-03,4.3,5.6,2.8,0.5
369,2017-01-04,3.5,5.4,1.5,2.0
370,2017-01-05,1.3,3.6,-0.9,0.0
371,2017-01-06,0.9,3.8,-2.5,0.0
372,2017-01-07,2.2,6.8,-4.5,0.0
373,2017-01-08,2.6,7.8,-3.2,3.5
374,2017-01-09,4.2,6.2,2.2,5.0
375,2017-01-10,4.4,9.5,0.7,1.0
376,2017-01-11,0.3,2.6,-1.2,0.0
377,2017-01-12,-0.5,2.5,-2.3,5.0
378,2017-01-13,-1.3,1.3,-5.4,4.5
379,2017-01-14,-4.5,-2.3,-7.2,1.5
380,2017-01-15,-4.0,-1.4,-6.2,3.5
381,2017-01-16,-1.0,1.3,-6.2,0.0
382,2017-01-17,0.2,3.5,-7.7,0.0
383,2017-01-18,1.1,5.2,-3.4,0.0
384,2017-01-19,1.0,3.1,-2.9,0.0
385,2017-01-20,-1.4,2.4,-7.3,10.5
386,2017-01-21,0.7,3.6,-4.3,2.5
387,2017-01-22,0.3,5.3,-5.8,0.0
388,2017-01-23,-1.4,0.4,-3.1,0.0
389,2017-01-24,-2.1,-0.6,-2.9,0.0
390,2017-01-25,-0.1,1.9,-2.8,0.0
391,2017-01-26,0.9,4.1,-4.5,0.0
392,2017-01-27,1.4,8.0,-4.8,1.0
393,2017-01-28,2.3,4.7,-0.3,0.0
394,2017-01-29,2.0,7.0,-2.5,0.0
395,2017-01-30,3.0,7.2,-0.4,1.0
396,2017-01-31,0.1,1.8,-1.5,0.0
397,2017-02-01,1.4,7.8,-3.6,0.5
398,2017-02-02,-1.4,1.2,-3.6,1.5
399,2017-02-03,1.9,3.8,0.0,0.5
400,2017-02-04,3.7,7.5,-1.1,0.0
401,2017-02-05,1.8,6.8,-3.9,2.5
402,2017-02-06,3.7,6.8,1.3,2.0
403,2017-02-07,-0.4,1.5,-1.8,0.5
404,2017-02-08,0.8,3.5,-0.9,0.0
405,2017-02-09,-0.6,0.6,-2.5,6.5
406,2017-02-10,0.1,1.9,-1.7,4.5
407,2017-02-11,-0.9,1.7,-4.0,0.5
408,2017-02-12,0.7,2.2,-1.6,0.5
409,2017-02-13,1.3,3.5,-0.3,0.0
410,2017-02-14,1.7,4.7,-0.2,0.0
411,2017-02-15,1.9,4.0,-1.6,0.0
412,2017-02-16,3.8,12.1,-2.8,0.0
413,2017-02-17,4.8,14.8,-2.9,0.0
414,2017-02-18,1.3,3.8,-0.6,0.0
415,2017-02-19,-0.4,2.0,-2.9,0.0
416,2017-02-20,1.3,6.8,-4.1,1.0
417,2017-02-21,-0.6,2.4,-1.7,1.0
418,2017-02-22,2.8,7.3,-1.2,0.0
419,2017-02-23,5.4,13.0,1.6,3.5
420,2017-02-24,0.4,2.3,-0.8,0.0
421,2017-02-25,0.8,5.1,-5.4,0.0
422,2017-02-26,2.5,7.0,-2.9,0.0
423,2017-02-27,1.5,5.1,-1.2,0.0
424,2017-02-28,0.9,8.1,-4.8,0.0
425,2017-03-01,2.6,10.1,-5.8,0.0
426,2017-03-02,5.3,9.3,3.5,1.5
427,2017-03-03,4.3,6.6,2.2,0.0
428,2017-03-04,5.0,11.1,-1.4,0.0
429,2017-03-05,6.2,10.0,0.8,0.0
430,2017-03-06,5.2,11.0,-1.5,0.0
431,2017-03-07,1.3,4.4,-1.4,0.0
432,2017-03-08,0.1,3.6,-3.0,0.5
433,2017-03-09,2.3,8.0,-2.8,0.0
434,2017-03-10,2.5,5.7,-0.5,0.0
435,2017-03-11,2.7,7.1,-0.2,0.0
436,2017-03-12,2.7,9.5,-3.1,0.0
437,2017-03-13,3.9,8.8,-3.2,0.0
438,2017-03-14,3.7,5.5,0.9,9.0
439,2017-03-15,1.5,3.2,0.3,4.5
440,2017-03-16,4.2,8.0,2.2,0.0
441,2017-03-17,3.4,7.4,-0.1,0.5
442,2017-03-18,5.8,10.3,1.8,0.5
443,2017-03-19,6.3,10.5,3.5,0.5
444,2017-03-20,7.0,12.0,2.2,0.0
445,2017-03-21,5.0,7.5,1.0,11.5
446,2017-03-22,4.7,8.6,2.1,0.5
447,2017-03-23,3.8,7.5,1.3,0.0
448,2017-03-24,2.3,6.1,0.3,0.0
449,2017-03-25,3.4,8.6,-0.9,0.0
450,2017-03-26,4.0,9.9,-1.3,5.5
451,2017-03-27,1.2,2.8,0.2,30.5
452,2017-03-28,3.7,7.4,1.4,0.0
453,2017-03-29,5.4,10.1,1.0,0.0
454,2017-03-30,7.3,14.9,-0.3,0.0
455,2017-03-31,5.4,7.1,3.5,0.0
456,2017-04-01,4.3,7.4,2.6,0.0
457,2017-04-02,4.7,9.6,0.1,0.0
458,2017-04-03,4.4,11.5,-2.3,0.5
459,2017-04-04,7.8,13.1,2.5,0.5
460,2017-04-05,10.6,20.7,-0.7,0.0
461,2017-04-06,12.8,19.6,3.1,1.0
462,2017-04-07,14.3,19.3,8.8,2.5
463,2017-04-08,12.9,16.7,9.8,0.0
464,2017-04-09,10.1,14.2,4.4,2.5
465,2017-04-10,8.1,15.7,2.8,0.0
466,2017-04-11,6.8,10.4,0.2,18.0
467,2017-04-12,8.1,10.5,3.3,0.0
468,2017-04-13,5.9,10.3,-0.5,0.0
469,2017-04-14,10.5,20.7,-0.5,0.0
470,2017-04-15,12.1,19.6,3.7,0.0
471,2017-04-16,15.4,23.9,4.8,0.0
472,2017-04-17,14.5,20.5,8.4,7.0
473,2017-04-18,12.1,15.8,10.2,12.5
474,2017-04-19,9.5,15.8,5.6,0.5
475,2017-04-20,9.6,13.7,5.9,0.0
476,2017-04-21,12.8,18.9,6.4,0.0
477,2017-04-22,10.6,13.8,6.5,0.0
478,2017-04-23,9.0,14.3,2.7,0.0
479,2017-04-24,10.3,20.0,0.1,0.0
480,2017-04-25,14.3,20.6,7.8,0.0
481,2017-04-26,13.6,18.8,10.7,1.0
482,2017-04-27,10.9,14.9,6.0,0.0
483,2017-04-28,11.1,17.2,2.9,0.0
484,2017-04-29,11.5,20.8,2.7,0.0
485,2017-04-30,15.5,23.1,5.4,0.0
486,2017-05-01,13.8,17.3,7.5,0.0
487,2017-05-02,12.9,18.6,7.7,0.0
488,2017-05-03,15.4,23.8,4.3,0.0
489,2017-05-04,16.3,24.0,7.8,0.0
490,2017-05-05,18.9,26.0,12.1,0.0
491,2017-05-06,17.2,22.9,11.5,4.0
492,2017-05-07,15.7,21.2,9.3,0.0
493,2017-05-08,16.6,24.0,8.4,0.0
494,2017-05-09,16.1,21.0,9.0,0.0
495,2017-05-10,15.7,18.0,13.9,0.0
496,2017-05-11,15.6,18.6,14.0,3.0
497,2017-05-12,18.6,24.2,13.1,0.0
498,2017-05-13,14.7,16.6,13.7,41.5
499,2017-05-14,14.1,16.3,11.9,0.0
500,2017-05-15,14.0,17.5,11.5,3.5
501,2017-05-16,15.4,18.7,13.0,0.0
502,2017-05-17,15.2,19.0,11.3,0.0
503,2017-05-18,16.6,21.6,12.1,0.0
504,2017-05-19,18.7,26.5,11.0,0.0
505,2017-05-20,20.7,28.0,11.0,0.0
506,2017-05-21,23.3,32.7,14.0,0.0
507,2017-05-22,24.6,32.4,16.7,0.0
508,2017-05-23,22.5,29.4,15.5,0.0
509,2017-05-24,18.9,23.2,16.8,2.5
510,2017-05-25,17.0,19.2,15.2,8.5
511,2017-05-26,16.1,17.6,15.1,0.5
512,2017-05-27,15.8,18.3,13.6,2.5
513,2017-05-28,16.4,20.0,13.3,0.0
514,2017-05-29,19.9,27.6,10.4,0.0
515,2017-05-30,22.6,29.5,14.3,0.0
516,2017-05-31,23.9,31.0,17.9,0.0
